"Datum","SAP.DE","SIE.DE","BAYN.DE","BAS.DE","ALV.DE","DAI.DE","DTE.DE","ADS.DE","BMW.DE","VOW3.DE"
"11-09-2018",101.47438,100.955841,67.13961,72.949379,174.966507,50.594116,13.082485,203.829895,76.710434,132.899612
"12-09-2018",102.816322,101.71756,67.101433,73.771614,177.033493,51.043427,13.044289,207.874924,77.242348,133.886337
"13-09-2018",102.32296,101.531776,66.95826,74.555603,176.899521,51.567623,13.082485,206.888321,78.334686,136.188721
"14-09-2018",102.816322,101.550354,68.552269,74.459984,177.89473,51.98885,13.125457,207.480286,78.771622,139.303711
"17-09-2018",101.533592,101.253098,69.583138,74.450432,178.277512,51.867161,13.144556,205.408432,78.401176,139.768051
"18-09-2018",101.829605,101.327408,69.964935,74.899788,178.660278,52.204144,13.268697,207.184311,78.524658,143.405441
"19-09-2018",100.783684,101.457458,70.66172,75.760262,180.095688,52.718975,13.125457,206.395035,79.351036,146.172165
"20-09-2018",100.290321,102.256348,72.370277,76.792839,182.009567,53.552071,13.216175,206.592346,81.041779,147.526505
"21-09-2018",102.717651,102.404968,73.038422,78.045311,184.47847,53.926498,13.27347,208.072235,81.469208,149.3452
"24-09-2018",102.086151,103.148117,72.685265,77.376053,183.904297,52.541126,13.177979,205.605759,79.313042,147.952148
"25-09-2018",105.579147,103.649734,72.160286,76.324356,186.354065,51.240002,13.22095,207.874924,75.038681,145.572372
"26-09-2018",106.368523,103.575417,72.981155,75.263107,187.425842,51.324245,13.340316,206.69101,75.067177,146.365646
"27-09-2018",106.368523,103.575417,74.11702,74.918915,188.995209,52.035652,13.440582,208.6642,75.038681,148.842148
"28-09-2018",104.592422,102.497856,73.028885,73.1884,183.732056,50.874935,13.259147,208.072235,73.81337,146.655853
"01-10-2018",105.263397,102.497856,72.389366,73.264877,185.110046,51.371048,13.263922,210.933365,74.221809,147.526505
"02-10-2018",104.651627,99.785393,71.186699,72.911133,184.172256,52.419437,13.230498,210.3414,74.753723,147.952148
"04-10-2018",104.671364,99.376671,71.768944,72.031525,186.200958,52.831303,13.431033,206.197708,74.335793,147.120209
"05-10-2018",102.83606,97.908958,71.263062,71.41008,184.727264,52.054375,13.383287,205.013809,73.784874,144.430862
"08-10-2018",100.685013,97.333023,71.348961,70.960716,181.645935,51.108952,13.321217,203.53392,73.015495,142.205872
"09-10-2018",102.421638,97.091499,71.539856,70.071556,182.736847,50.94046,13.28302,201.659378,72.559555,141.760864
"10-10-2018",97.399223,95.215073,71.59713,68.541817,180.535889,50.17289,13.641117,192.533417,71.571709,138.858704
"11-10-2018",95.790871,93.357208,73.802032,66.926033,174.430618,49.330437,13.368963,190.066925,70.574364,135.898514
"12-10-2018",96.767723,92.669807,72.637535,65.989067,173.416275,49.508286,13.230498,190.017609,70.754829,135.588959
"15-10-2018",96.708527,93.357208,74.517906,66.132477,174.220093,49.536366,13.507428,192.33609,71.438728,139.710022
"16-10-2018",99.619347,94.546242,74.718346,66.18985,175.004791,49.826546,13.617245,197.31839,71.951653,142.612183
"17-10-2018",99.007576,94.992126,73.859299,65.989067,176.401901,49.386597,13.74616,198.99559,71.467224,142.302612
"18-10-2018",93.126724,94.15609,74.851982,65.185951,176.248795,49.058975,13.894173,196.085144,71.362732,140.832184
"19-10-2018",94.034515,92.985641,74.059738,64.67923,177.224869,48.104195,13.99444,200.080841,70.897308,139.284363
